Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
ex1,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/07SNC_STEM-Research_0057-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex2,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/08SNC_STEM-Research_0101-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex3,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/09SNC_STEM-Research_0117-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex4,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/10SNC_Summer-Academy-of-Medicine_0062-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex5,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/11SNC_Summer-Academy-of-Medicine_0101-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,n
ex6,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/2733-SNC-10-15-15-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex7,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/Copy-of-SNC_Undergraduate-Research-Forum0040-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex8,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/GMS-building-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex9,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/Human-Anatomy_Body-Painting_0056-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex10,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/SNC_Fall-Campus-Scenes0113-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex11,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/Woit_161013_0102-scaled.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex12,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/IMG_4868.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex13,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/IMG_4881.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex14,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/IMG_4887.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex15,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/IMG_4893.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex16,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/IMG_4899.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex17,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/IMG_4906.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex18,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/IMG_7410.HEIC-1.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex19,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/PXL_20231116_171010273.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex20,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/gms/PXL_20231116_174033805.MP.jpg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
